+------------------------+--------------------+--------------------+------------------------+---------------------+
|           Z            |         F          |      F deriv       |           U            |         divF        |
+------------------------+--------------------+--------------------+------------------------+---------------------+
|          0.0           |         0          |         0          | 2.2224918925928923e-06 |  90454.56741415379  |
|         0.0001         | 0.7914775037626952 | 1.5829550279449345 | 2.2224918679691477e-06 |  90454.57398048567  |
|         0.0002         | 2.374432552127178  | 3.1659103485700126 | 2.2224917940979128e-06 |  90454.59367947768  |
| 0.00030000000000000003 | 3.957388145012865  | 4.7488663770726705 | 2.2224916709791705e-06 |   90454.6265111236  |
|         0.0004         | 5.540344609132533  |  6.3318234333592   | 2.2224914986128937e-06 |   90454.672475415   |
|         0.0005         | 7.123302257586001  | 7.914781864562044  | 2.2224912769990457e-06 |  90454.73157233857  |
| 0.0006000000000000001  | 8.706261471538346  | 9.497742045039828  | 2.2224910061375777e-06 |  90454.80380187622  |
|         0.0007         | 10.28922261854175  | 11.080704301505714 | 2.2224906860284296e-06 |  90454.88916400794  |
|         0.0008         | 11.872185984470383 | 12.663668947060039 | 2.2224903166715323e-06 |  90454.98765870767  |
| 0.0009000000000000001  | 13.455151909650745 | 14.246636356061973 | 2.2224898980668062e-06 |  90455.09928594671  |
|         0.001          | 15.038120802474687 | 15.82960687564486  | 2.222489430214159e-06  |  90455.22404569382  |
|         0.0011         | 16.62109294881707  | 17.412580832522792 | 2.2224889131134895e-06 |  90455.36193791132  |
| 0.0012000000000000001  | 18.204068716231223 | 18.99555858744273  | 2.222488346764685e-06  |  90455.51296255889  |
| 0.0013000000000000002  | 19.787048458657743 | 20.57854048073241  | 2.222487731167622e-06  |   90455.6771195935  |
|         0.0014         | 21.370032502811544 | 22.16152685952649  | 2.2224870663221662e-06 |  90455.85440896562  |
|         0.0015         | 22.953021216247002 | 23.744518050540428 | 2.222486352228173e-06  |  90456.04483062607  |
|         0.0016         | 24.53601488484071  | 25.32751440090969  | 2.2224855888854875e-06 |  90456.24838451624  |
| 0.0017000000000000001  | 26.119013916986983 | 26.910516284996234 | 2.2224847762939435e-06 |  90456.46507057843  |
| 0.0018000000000000002  | 27.70201865301545  | 28.49352403632342  | 2.222483914453363e-06  |  90456.69488874913  |
|         0.0019         | 29.285029419643227 | 30.07653799522166  | 2.222483003363559e-06  |  90456.93783896076  |
|         0.002          | 30.868046570814013 | 31.659558502021888 | 2.2224820430243324e-06 |  90457.19392114325  |
| 0.0021000000000000003  | 32.45107043324599  | 33.24258590386213  | 2.2224810334354745e-06 |  90457.46313522184  |
|         0.0022         | 34.034101374497055 | 34.825620547881044 | 2.222479974596765e-06  |  90457.74548111709  |
|         0.0023         | 35.61713972128661  | 36.408662767604845 | 2.222478866507974e-06  |  90458.04095874741  |
| 0.0024000000000000002  | 37.200185813947776 | 37.99171291698008  | 2.2224777091688597e-06 |  90458.34956802522  |
|         0.0025         | 38.783240020040395 | 39.574771343147304 |  2.22247650257917e-06  |  90458.67130886173  |
| 0.0026000000000000003  | 40.36630266628591  | 41.15783837282841  | 2.222475246738643e-06  |  90459.00618116301  |
|         0.0027         | 41.94937407940655  | 42.740914366778554 | 2.222473941647005e-06  |  90459.35418483039  |
|         0.0028         | 43.53245465419047  | 44.32399967214066  | 2.2224725873039714e-06 |  90459.71531976275  |
| 0.0029000000000000002  | 45.115544690135344 | 45.907094622445406 | 2.222471183709248e-06  |  90460.08958585493  |
|         0.003          | 46.69864455480495  |  47.4901995648375  | 2.2224697308625286e-06 |  90460.47698299603  |
| 0.0031000000000000003  | 48.281754574924776 | 49.073314866881866 | 2.2224682287634976e-06 |  90460.87751107488  |
|         0.0032         | 49.86487515889936  | 50.65644086891843  | 2.222466677411826e-06  |  90461.29116997398  |
|         0.0033         | 51.44800657900393  | 52.23957789086847  | 2.2224650768071773e-06 |  90461.71795957258  |
| 0.0034000000000000002  | 53.03114920280584  |  53.8227263002998  | 2.2224634269492025e-06 |  90462.15787974652  |
|         0.0035         | 54.61430339787344  | 55.40588643074875  | 2.2224617278375416e-06 |  90462.61093036651  |
| 0.0036000000000000003  | 56.19746946371097  | 56.98905860894611  | 2.2224599794718254e-06 |  90463.07711130056  |
|         0.0037         | 57.780647754275826 | 58.57224318884981  | 2.2224581818516736e-06 |  90463.55642241273  |
|         0.0038         | 59.36383862352646  | 60.155440531225366 | 2.2224563349766947e-06 |  90464.04886356212  |
| 0.0039000000000000003  | 60.94704243903549  | 61.73865096961339  | 2.222454438846486e-06  |   90464.554434607   |
|         0.004          | 62.530259500311516 | 63.32187484436215  | 2.222452493460636e-06  |  90465.07313539737  |
|         0.0041         |  64.1134901885425  | 64.90511250943412  | 2.2224504988187197e-06 |  90465.60496578348  |
|  0.004200000000000001  | 65.69673483046545  |  66.4883643119865  | 2.2224484549203037e-06 |  90466.14992560902  |
|         0.0043         | 67.27999379365775  | 68.07163059237126  | 2.2224463617649424e-06 |  90466.70801471498  |
|         0.0044         |  68.8632673912459  |  69.6549116909415  | 2.2224442193521803e-06 |  90467.27923293848  |
| 0.0045000000000000005  | 70.44655599080977  |  71.2382079616648  | 2.222442027681551e-06  |  90467.86358011366  |
|         0.0046         | 72.02985993270454  | 72.82151975170353  | 2.2224397867525767e-06 |  90468.46105606828  |
|         0.0047         | 73.61317957089977  | 74.40484739460835  | 2.2224374965647696e-06 |  90469.07166062969  |
| 0.0048000000000000004  | 75.19651521852737  | 75.98819123754446  | 2.2224351571176313e-06 |  90469.69539361753  |
|         0.0049         | 76.77986725678566  | 77.57155162087179  | 2.222432768410652e-06  |  90470.33225485179  |
|         0.005          | 78.36323598519635  | 79.15492889175839  | 2.2224303304433127e-06 |  90470.98224414486  |
|         0.0051         | 79.94662179857382  | 80.73832339737383  | 2.2224278432150816e-06 |  90471.64536130721  |
|  0.005200000000000001  |  81.5300249964427  | 82.32173547127604  | 2.222425306725418e-06  |  90472.32160614555  |
|         0.0053         | 83.11344594639435  |  83.9051654810571  | 2.2224227209737693e-06 |  90473.01097846258  |
|         0.0054         | 84.69688501602164  | 85.48861377389127  | 2.2224200859595723e-06 |  90473.71347805584  |
| 0.0055000000000000005  | 86.28034253208006  | 87.07208067653471  | 2.222417401682253e-06  |   90474.4291047225  |
|         0.0056         | 87.86381882132657  | 88.65556652255181  | 2.222414668141227e-06  |  90475.15785825133  |
|         0.0057         | 89.44731422413298  | 90.23907165231515  |  2.2224118853359e-06   |  90475.89973842986  |
| 0.0058000000000000005  | 91.03082908087266  | 91.82259641981202  | 2.222409053265667e-06  |   90476.6547450413  |
|         0.0059         | 92.61436375914684  |  93.4061411926445  | 2.222406171929911e-06  |  90477.42287786613  |
|         0.006          |  94.1979186265584  | 94.98970630438379  | 2.222403241328004e-06  |  90478.20413667997  |
|         0.0061         | 95.78149398264696  | 96.57329208860298  | 2.222400261459309e-06  |  90478.99852125312  |
|  0.006200000000000001  | 97.36509019501905  | 98.15689891971606  | 2.2223972323231763e-06 |  90479.80603135425  |
|         0.0063         | 98.94870764489613  | 99.74052711088021  | 2.222394153918946e-06  |  90480.62666674807  |
|         0.0064         | 100.53234657737109 | 101.3241770024805  | 2.2223910262459495e-06 |  90481.46042719448  |
|  0.006500000000000001  | 102.11600742812124 | 102.90784896893656 | 2.222387849303505e-06  |  90482.30731245092  |
|         0.0066         | 103.69969051030856 | 104.49154333021795 | 2.222384623090921e-06  |  90483.16732226855  |
|         0.0067         | 105.28339615071009 | 106.07526044032863 | 2.2223813476074953e-06 |  90484.04045639589  |
| 0.0068000000000000005  | 106.86712473055677 | 107.65900064646797 | 2.2223780228525147e-06 |  90484.92671457985  |
|  0.006900000000000001  | 108.45087656301654 | 109.24276428903113 | 2.2223746488252558e-06 |   90485.8260965603  |
|         0.007          | 110.03465201571157 | 110.8265517220282  | 2.2223712255249836e-06 |  90486.73860207436  |
|         0.0071         |  111.61845142904   | 112.41036327224525 | 2.222367752950953e-06  |  90487.66423085639  |
|  0.007200000000000001  | 113.20227511617601 | 113.99419929369681 | 2.2223642311024085e-06 |  90488.60298263439  |
|         0.0073         | 114.78612347197412 | 115.57806013359267 | 2.222360659978583e-06  |  90489.55485713638  |
|         0.0074         | 116.3699967959998  | 117.16194611872567 | 2.2223570395786995e-06 |  90490.51985408211  |
|  0.007500000000000001  | 117.95389544227288 | 118.74585760311658 | 2.2223533699019705e-06 |  90491.49797319077  |
|         0.0076         | 119.53781976481535 | 120.32979492717554 | 2.222349650947597e-06  |  90492.48921417698  |
|         0.0077         | 121.12177009042554 | 121.91375845854117 | 2.2223458827147705e-06 |  90493.49357674932  |
| 0.0078000000000000005  | 122.70574682758217 | 123.4977485376281  | 2.222342065202669e-06  |  90494.51106061628  |
|         0.0079         | 124.28975024863595 | 125.08176547082087 | 2.2223381984104626e-06 |  90495.54166547993  |
|         0.008          | 125.87378069400519 |  126.665809625765  | 2.2223342823373105e-06 |  90496.58539103842  |
|         0.0081         | 127.45783855856263 | 128.24988136330185 | 2.2223303169823598e-06 |  90497.64223698812  |
|         0.0082         | 129.04192416911837 | 129.83398101704933 | 2.2223263023447473e-06 |   90498.712203019   |
|         0.0083         | 130.6260378660979  | 131.41810892743408 | 2.2223222384235994e-06 |  90499.79528881957  |
|  0.008400000000000001  | 132.2101799899293  | 133.00226543488546 | 2.2223181252180317e-06 |  90500.89149407159  |
|         0.0085         | 133.79435088104307 | 134.5864508866417  | 2.2223139627271493e-06 |   90502.0008184566  |
|         0.0086         | 135.3785508934852  | 136.17066562994364 | 2.2223097509500464e-06 |  90503.12326164971  |
|  0.008700000000000001  | 136.96278036769144 | 137.75491001884131 | 2.2223054898858065e-06 |  90504.25882332331  |
|         0.0088         | 138.54703967132605 | 139.33918438016116 | 2.2223011795335016e-06 |  90505.40750314452  |
|         0.0089         | 140.13132909037773 |  140.923489061152  | 2.222296819892195e-06  |  90506.56930077844  |
|  0.009000000000000001  | 141.7156490333553  | 142.50782441587174 | 2.222292410960937e-06  |  90507.74421588579  |
|         0.0091         | 143.2999997998659  | 144.09219077796135 | 2.222287952738769e-06  |   90508.9322481223  |
|         0.0092         | 144.88438175758444 | 145.6765884946778  | 2.2222834452247202e-06 |  90510.13339714118  |
|  0.009300000000000001  | 146.46879523334968 | 147.26101792689366 | 2.222278888417811e-06  |  90511.34766259209  |
|         0.0094         | 148.0532406220682  | 148.84547940825826 | 2.222274282317048e-06  |  90512.57504411903  |
|         0.0095         | 149.63771819613217 |  150.429973272424  |  2.22226962692143e-06  |  90513.81554136363  |
|  0.009600000000000001  | 151.22222835045395 | 152.01449986665884 | 2.222264922229944e-06  |   90515.0691539636  |
|         0.0097         | 152.80677138465742 | 153.59905952462088 | 2.222260168241567e-06  |  90516.33588155288  |
|         0.0098         | 154.39134766643463 | 155.18365261400353 | 2.2222553649552644e-06 |  90517.61572376042  |
